id_fact_check|fc_title|fc_url_poynter|fc_rl_fact_checker|fc_agency|fc_country|fc_date|id_tweet_replier|rep_user_id|rep_created_at|rep_text|rep_lang|rep_like_count|rep_rt_count|id_tweet_spreader|sp_user_id|sp_created_at|sp_text|sp_lang|sp_like_count|sp_rt_count
14|FALSE: Pneumonia caused by the Covid-19 is an allergic reaction that should be treated with antihistamines.|https://www.poynter.org/?ifcn_misinformation=pneumonia-caused-by-the-covid-19-is-an-allergic-reaction-that-should-be-treated-with-antihistamines|https://factcheck.afp.com/doc.afp.com.9WK2NK|AFP|United States|2022/01/20|1544654970435571712|1276884880056434689|2022-07-06T12:10:17.000Z|"@JaradBryant @_PH___PH_ @DrJinRussell You've given me a long COVID paper, as evidence for early treatment for COVID. That's not the same at all. All he does and people do, is mention allergies. It is one of his central points. He's already been debunked by more qualified people.
https://t.co/T1Mv9VWs6o"|en|0|0|1544629294135410689|3670244598|2022-07-06T10:28:16.000Z|"@FilmFlic @_PH___PH_ @DrJinRussell In his interview with Dr Been he clarified.
His hypothesis being mass cell activation.

You fixating an allergy is rudimentary compare wth his training, actual clinical observations and assessments.

If you were genuine you’d look deeper.

https://t.co/a0P9pPlK6Y"|en|0|0
29|FALSE: Pneumonia caused by the Covid-19 is an allergic reaction that should be treated with antihistamines.|https://www.poynter.org/?ifcn_misinformation=pneumonia-caused-by-the-covid-19-is-an-allergic-reaction-that-should-be-treated-with-antihistamines|https://factcheck.afp.com/doc.afp.com.9WK2NK|AFP|United States|2022/01/20|1544654970435571712|1276884880056434689|2022-07-06T12:10:17.000Z|"@JaradBryant @_PH___PH_ @DrJinRussell You've given me a long COVID paper, as evidence for early treatment for COVID. That's not the same at all. All he does and people do, is mention allergies. It is one of his central points. He's already been debunked by more qualified people.
https://t.co/T1Mv9VWs6o"|en|0|0|1544629294135410689|3670244598|2022-07-06T10:28:16.000Z|"@FilmFlic @_PH___PH_ @DrJinRussell In his interview with Dr Been he clarified.
His hypothesis being mass cell activation.

You fixating an allergy is rudimentary compare wth his training, actual clinical observations and assessments.

If you were genuine you’d look deeper.

https://t.co/a0P9pPlK6Y"|en|0|0
35|MISLEADING: Pfizer CEO Albert Bourla said two Covid-19 shots offer “very limited” protection against the disease.|https://www.poynter.org/?ifcn_misinformation=pfizer-ceo-albert-bourla-said-two-covid-19-shots-offer-very-limited-protection-against-the-disease|https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9W78Z2-1|AFP|United States|2022/01/14|1538247043503759365|1458687341464363008|2022-06-18T19:47:29.000Z|"@dm43046721 @F3_Haskell @Tdillon06 @BlaylockMooky @andrew7rd @GeezercitizenX @CoryRove @frugalsues @LauriHWilliams @umfpt @arduatendit @mario19795947 @LifechoiceN @Unity_Coach @PrickyRicky1 @OXHarryH1 @TracyMMPohill @Justin00Wilton @ADevotedYogi @roadstersmart9 @rospay15 @Nissim_Levy @Quoimio @____MindlessX3 @TakeThatChem @aka_c00lest @scalefree @tinyasura @CyaeghaUK @cyberdyne @David_G1ZQC @MoeZuraJr @stephenHarper9 @Goofymansmoo @Tresure15267590 @Simple_Truth21 @Me86104066 @6x10E23 @upperclasstwit4 @o0ned @Spacebuds67 @ThorAxe7 @JRHorsting @eric_heffernan @AcMagnolia @dukeye @eschbachfamily @NP_Pubs @MarioTabone7 Misleading
https://t.co/VvPiESFoON"|en|0|0|1537939925118513152|47680752|2022-06-17T23:27:06.000Z|@F3_Haskell @Tdillon06 @BlaylockMooky @andrew7rd @GeezercitizenX @CoryRove @Scary7Dr @frugalsues @LauriHWilliams @umfpt @arduatendit @mario19795947 @LifechoiceN @Unity_Coach @PrickyRicky1 @OXHarryH1 @TracyMMPohill @Justin00Wilton @ADevotedYogi @roadstersmart9 @rospay15 @Nissim_Levy @Quoimio @____MindlessX3 @TakeThatChem @aka_c00lest @scalefree @tinyasura @CyaeghaUK @cyberdyne @David_G1ZQC @MoeZuraJr @stephenHarper9 @Goofymansmoo @Tresure15267590 @Simple_Truth21 @Me86104066 @6x10E23 @upperclasstwit4 @o0ned @Spacebuds67 @ThorAxe7 @JRHorsting @eric_heffernan @AcMagnolia @dukeye @eschbachfamily @NP_Pubs @MarioTabone7 https://t.co/3EZl2D9nMc|qme|5|0
38|FALSE: “Danish researchers […] found protection against Omicron turned negative three months after the second dose.”|https://www.poynter.org/?ifcn_misinformation=danish-researchers-found-protection-against-omicron-turned-negative-three-months-after-the-second-dose|https://healthfeedback.org/claimreview/study-from-denmark-didnt-find-covid-19-vaccines-make-people-more-prone-infection-alex-berenson/|Science Feedback|United States|2022/01/13|1537850940526579712|1484222522363199494|2022-06-17T17:33:30.000Z|@openyou89028026 @MrPeter82721560 @andrewbogut https://t.co/RQBFePPd3O|qme|0|0|1537848825926373377|1264093318134280192|2022-06-17T17:25:06.000Z|@ReallySteveA @MrPeter82721560 @andrewbogut Utter tripe. Stop watching mainstream media and read from Drs that have been censored and canceled you will def learn something.|en|0|0
39|NO EVIDENCE: Zinc supplements can protect against the COVID-19.|https://www.poynter.org/?ifcn_misinformation=zinc-supplements-can-protect-against-the-covid-19|https://healthfeedback.org/claimreview/no-evidence-dietary-supplements-containing-zinc-ionophore-promoted-vladimir-zelenko-effective-against-covid-19/|Science Feedback|United States|2022/01/13|1543987237729222656|808839784336654336|2022-07-04T15:56:58.000Z|@drsimonegold @piddlewonk https://t.co/DhTCcJdEcF|qme|0|0|1543724669169287170|806344552718045184|2022-07-03T22:33:36.000Z|"My dear friend Dr. ‘Zev’ Zelenko has just passed away.

His “Zelenko Protocol” saved millions and earned him the admiration of a U.S. President among other prominent world leaders. He was an incredible fighter for truth and justice.

We are incredibly saddened by the loss. https://t.co/dD4KvJpObi"|en|8689|1595
44|FALSE: “New big data study of 145 countries show COVID vaccines makes things worse (cases and deaths).”|https://www.poynter.org/?ifcn_misinformation=new-big-data-study-of-145-countries-show-covid-vaccines-makes-things-worse-cases-and-deaths|https://healthfeedback.org/claimreview/scientific-evidence-shows-covid-19-vaccination-reduces-risk-infection-mortality-analysis-cases-deaths-from-145-countries-methodologically-flawed-steve-kirsch/|Science Feedback|United States|2022/01/10|1543727632663347200|17112823|2022-07-03T22:45:23.000Z|"@arekdrozda @MarcTennant Here’s why the study you posted is not correct…

https://t.co/Feew9SLziV"|en|0|0|1543503390449496064|134439685|2022-07-03T07:54:19.000Z|"@MarcTennant Prof Tennant, so what does it tell us about the effectiveness of #COVID19vaccine ? +95% of adult Australians took that cure because were promised not to get sick, not to end up in hospital, and not to die... 

For reference: 
https://t.co/EJqpm32g36
+ Pfizer study: ARR just 0.7%"|en|2|0
44|FALSE: “New big data study of 145 countries show COVID vaccines makes things worse (cases and deaths).”|https://www.poynter.org/?ifcn_misinformation=new-big-data-study-of-145-countries-show-covid-vaccines-makes-things-worse-cases-and-deaths|https://healthfeedback.org/claimreview/scientific-evidence-shows-covid-19-vaccination-reduces-risk-infection-mortality-analysis-cases-deaths-from-145-countries-methodologically-flawed-steve-kirsch/|Science Feedback|United States|2022/01/10|1541029577228705792|730469674983555072|2022-06-26T12:04:16.000Z|@LauraD_In_Indy @scottlincicome https://t.co/4Ln6rCGqLe|qme|0|0|1540997428047929345|34867364|2022-06-26T09:56:31.000Z|@MissLoralei @scottlincicome Name two.|en|32|0
44|FALSE: “New big data study of 145 countries show COVID vaccines makes things worse (cases and deaths).”|https://www.poynter.org/?ifcn_misinformation=new-big-data-study-of-145-countries-show-covid-vaccines-makes-things-worse-cases-and-deaths|https://healthfeedback.org/claimreview/scientific-evidence-shows-covid-19-vaccination-reduces-risk-infection-mortality-analysis-cases-deaths-from-145-countries-methodologically-flawed-steve-kirsch/|Science Feedback|United States|2022/01/10|1540663590088314880|2781253152|2022-06-25T11:49:58.000Z|"@fishyfish67 @ArtysHouse @jen_pic @ALefty123 @judysimpson222 @MikeDel21893959 @MinnesotaExpat @txfearsomefrank @cbeckj @DebraMMason1 @JohnOz1900 @BellRoniBell @RAM0667 @Alfred_StatesX @EducatingTrump2 @hoothathuh @JasonWWalton1 @JonRFleming @David4677484957 @VictorJennpaul @MrAntiWoke @helenjaneadkins @aSinister @AnsgarTOdinson @ic_lib @jimgann25805901 @Barbarajdurkin @Anvndarnamn5 @glinch72 @ShastaGecko @NumbersMean @cdallencounty @girl_pilled @JeffBernard1 @Jonnyporkchop @DelusionsMass @RustyAway @NavyBrat59 @Neilcharles1450 @theDVSMarcus @InCytometry @SndhsBl @Jaisans @USAMRIIDca @Guardia56241490 @Trumpbangskids @ChrisBBacon3 @6lennybravo @Lorrilala @BL20422822 Because pictures mean sooo much when you can just link it.
https://t.co/OvqbEmTrAB"|en|0|0|1540662724119539712|1044923978|2022-06-25T11:46:32.000Z|@FiendInno @ArtysHouse @jen_pic @ALefty123 @judysimpson222 @MikeDel21893959 @MinnesotaExpat @txfearsomefrank @cbeckj @DebraMMason1 @JohnOz1900 @BellRoniBell @RAM0667 @Alfred_StatesX @EducatingTrump2 @hoothathuh @JasonWWalton1 @JonRFleming @David4677484957 @VictorJennpaul @MrAntiWoke @helenjaneadkins @aSinister @AnsgarTOdinson @ic_lib @jimgann25805901 @Barbarajdurkin @Anvndarnamn5 @glinch72 @ShastaGecko @NumbersMean @cdallencounty @girl_pilled @JeffBernard1 @Jonnyporkchop @DelusionsMass @RustyAway @NavyBrat59 @Neilcharles1450 @theDVSMarcus @InCytometry @SndhsBl @Jaisans @USAMRIIDca @Guardia56241490 @Trumpbangskids @ChrisBBacon3 @6lennybravo @Lorrilala @BL20422822 Funny how people dismiss something that says the vaccine might be killing more people than saving. Enjoy your 4th booster.|en|5|2
44|FALSE: “New big data study of 145 countries show COVID vaccines makes things worse (cases and deaths).”|https://www.poynter.org/?ifcn_misinformation=new-big-data-study-of-145-countries-show-covid-vaccines-makes-things-worse-cases-and-deaths|https://healthfeedback.org/claimreview/scientific-evidence-shows-covid-19-vaccination-reduces-risk-infection-mortality-analysis-cases-deaths-from-145-countries-methodologically-flawed-steve-kirsch/|Science Feedback|United States|2022/01/10|1540662879958990848|2781253152|2022-06-25T11:47:09.000Z|"@ALefty123 @fishyfish67 @ArtysHouse @jen_pic @judysimpson222 @MikeDel21893959 @MinnesotaExpat @txfearsomefrank @cbeckj @DebraMMason1 @JohnOz1900 @BellRoniBell @RAM0667 @Alfred_StatesX @EducatingTrump2 @hoothathuh @JasonWWalton1 @JonRFleming @David4677484957 @VictorJennpaul @MrAntiWoke @helenjaneadkins @aSinister @AnsgarTOdinson @ic_lib @jimgann25805901 @Barbarajdurkin @Anvndarnamn5 @glinch72 @ShastaGecko @NumbersMean @cdallencounty @girl_pilled @JeffBernard1 @Jonnyporkchop @DelusionsMass @RustyAway @NavyBrat59 @Neilcharles1450 @theDVSMarcus @InCytometry @SndhsBl @Jaisans @USAMRIIDca @Guardia56241490 @Trumpbangskids @ChrisBBacon3 @6lennybravo @Lorrilala @BL20422822 And for fun.
https://t.co/OvqbEmTrAB"|en|0|0|1540662610294628352|2781253152|2022-06-25T11:46:05.000Z|"@ALefty123 @fishyfish67 @ArtysHouse @jen_pic @judysimpson222 @MikeDel21893959 @MinnesotaExpat @txfearsomefrank @cbeckj @DebraMMason1 @JohnOz1900 @BellRoniBell @RAM0667 @Alfred_StatesX @EducatingTrump2 @hoothathuh @JasonWWalton1 @JonRFleming @David4677484957 @VictorJennpaul @MrAntiWoke @helenjaneadkins @aSinister @AnsgarTOdinson @ic_lib @jimgann25805901 @Barbarajdurkin @Anvndarnamn5 @glinch72 @ShastaGecko @NumbersMean @cdallencounty @girl_pilled @JeffBernard1 @Jonnyporkchop @DelusionsMass @RustyAway @NavyBrat59 @Neilcharles1450 @theDVSMarcus @InCytometry @SndhsBl @Jaisans @USAMRIIDca @Guardia56241490 @Trumpbangskids @ChrisBBacon3 @6lennybravo @Lorrilala @BL20422822 Yupp here ya go.
https://t.co/6vAv1IW7KD"|en|0|0
58|FALSE: Robert Malone making a series of claims about mRNA Covid-19 shots causing harm to children.|https://www.poynter.org/?ifcn_misinformation=robert-malone-making-a-series-of-claims-about-mrna-covid-19-shots-causing-harm-to-children|https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9V36YN-1|AFP|United States, France|2021/12/23|1541946414372093952|1511419668359229445|2022-06-29T00:47:27.000Z|"@sabodeplorable @SueLindsay1013 @ck_angell From Agente-Press-France:
https://t.co/4gBl9zV2nG"|en|0|0|1541946060507168768|1511419668359229445|2022-06-29T00:46:03.000Z|@sabodeplorable @SueLindsay1013 @ck_angell Yes because that’s a good argument for why a person is telling the truth. Everybody else are cowards and are making money off him! Couldn’t be that he has some objective evidence that is irrefutable by the scientific community, because they never seem to present that hand.|en|0|0
